long,lat,nro_registro,tipo_activ,comuna,U46,calle,calle_altura,calle_chapa,ubicacion,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol,ultima_actualizacion
-58.37600296,-34.60875316,64897,Lineal,1,976,De Mayo Av.,600,77.0,LA,Platanus x acerifolia,6.2,Ocupada,Regular,Bajo nivel,21.0,21.0,2022-05-18
-58.37618895,-34.60876617,64898,Lineal,1,976,De Mayo Av.,600,77.0,Exacta,Fraxinus pennsylvanica,6.2,Ocupada,Regular,Bajo nivel,22.0,14.0,2002-02-06
-58.36713861,-34.61885526,64899,Lineal,1,976,Azopardo,900,77.0,Exacta,Fraxinus excelsior,3.2,Ocupada,Regular,A nivel,12.0,4.0,2022-03-08
-58.37618895,-34.60876617,64900,Lineal,1,976,De Mayo Av.,600,77.0,LD,Fraxinus pennsylvanica,6.2,Ocupada,Regular,Bajo nivel,15.0,11.0,2017-06-06
-58.36716683,-34.61860739,64901,Lineal,1,976,Azopardo,900,77.0,Exacta,Platanus x acerifolia,3.2,Ocupada,Regular,A nivel,32.0,15.0,2005-06-22
-58.36713861,-34.61885526,64902,Lineal,1,976,Azopardo,900,77.0,LD,Platanus x acerifolia,3.2,Ocupada,Regular,A nivel,36.0,15.0,2015-08-19
-58.36716683,-34.61860739,64903,Lineal,1,976,Azopardo,900,77.0,LD,Platanus x acerifolia,3.2,Ocupada,Regular,A nivel,31.0,14.0,2019-12-04
-58.36716683,-34.61860739,64904,Lineal,1,976,Azopardo,900,77.0,Exacta,Platanus x acerifolia,3.2,Ocupada,Regular,A nivel,38.0,19.0,2013-07-09
-58.3671854,-34.61844426,64905,Lineal,1,976,Azopardo,900,77.0,Exacta,Ficus benjamina,3.2,Ocupada,Regular,A nivel,30.0,7.0,2005-04-29
-58.36714931,-34.6200761,64907,Lineal,1,976,Azopardo,1000,77.0,LA,Fraxinus pennsylvanica,3.2,Ocupada,Regular,A nivel,23.0,11.0,2012-06-30
-58.36714931,-34.6200761,64908,Lineal,1,976,Azopardo,1000,77.0,LA,Fraxinus pennsylvanica,3.2,Ocupada,Regular,A nivel,31.0,13.0,2012-08-20
-58.36667574,-34.61819329,64909,Lineal,1,976,Estados Unidos,,77.0,Exacta,Fraxinus pennsylvanica,3.8,Ocupada,Regular,A nivel,32.0,7.0,2010-09-19
-58.36720022,-34.61962919,64910,Lineal,1,976,Azopardo,1000,77.0,LA,Platanus x acerifolia,3.2,Ocupada,Regular,A nivel,77.0,24.0,2011-07-04
-58.36720022,-34.61962919,64911,Lineal,1,976,Azopardo,1000,77.0,LD,Platanus x acerifolia,3.5,Ocupada,Regular,Elevada,57.0,22.0,2008-06-20
-58.36720022,-34.61962919,64912,Lineal,1,976,Azopardo,1000,77.0,LA,Platanus x acerifolia,3.2,Ocupada,Regular,A nivel,60.0,20.0,2013-09-18
-58.36720022,-34.61962919,64913,Lineal,1,976,Azopardo,1000,77.0,Exacta,Platanus x acerifolia,3.2,Ocupada,Regular,Elevada,65.0,23.0,2013-08-27
-58.38909207,-34.61656805,65172,Lineal,1,976,Cevallos Virrey,600,77.0,LA,Fraxinus pennsylvanica,2.5,Ocupada,Regular,A nivel,23.0,9.0,2006-06-28
