calle,comuna,altura_inicial,altura_final
MANCO CAPAC,7,1196,1701
MANDISOBI,4,2902,3001
MANUEL ALVAREZ PRADO,12,2402,2601
MANUEL ARCE,9,1002,1201
MANUEL DE ARTIGAS,9,0,7201
MANUEL DE SAN GINES,11,1902,2001
MANUEL EGUIA,7,902,1201
MANUEL GALVEZ,4,102,301
MANUEL GARCIA,4,0,501
MANUEL J. SAMPERIO,4,902,1101
MANUEL MONTES DE OCA AV,4,2102,2301
MANUEL OBARRIO,14,2902,3001
MANUEL PADILLA,12,4002,4101
MANUEL PORCEL DE PERALTA,0,302,401
MANUEL PORCEL DE PERALTA,10,0,1501
MANUEL R. TRELLES,7,602,1101
MANUEL R. TRELLES,11,1102,2301
MANUEL R. TRELLES,15,0,1
MANUEL SOLA,11,4402,4801
MANUEL UGARTE,12,3102,3929
MANUEL UGARTE,13,1502,3101
MANUELA GANDARILLAS,8,4602,5001
MANUELA PEDRAZA,12,0,6401
MANUELA PEDRAZA,13,0,3101
MANUELA SAENZ,1,302,601
MANZANARES,12,0,5001
MANZANARES,13,1602,2401
MANZONI,10,2,401
MAPUCHES,1,1276,2201
MAR DEL PLATA,10,902,1101
MAR DULCE,4,302,601
MARACAIBO,8,3252,3351
MARCELINO CHAMPAGNAT,4,0,1
MARCELO GAMBOA,10,6102,7001
MARCELO T.DE ALVEAR,1,0,1401
MARCELO T.DE ALVEAR,2,1402,2501
MARCOS PAZ,10,1502,2701
MARCOS PAZ,11,0,4701
MARCOS SASTRE,10,3902,6401
MARCOS SASTRE,11,2592,3901
MARCOS SEGUIN,4,2502,2601
MARIA ANTONIA DE LA PAZ Y FIGUEROA,10,4502,4601
MARIA CATALINA MARCHI,14,202,301
MARIA ELENA WALSH,1,1052,1301
MARIA LUISA BEMBERG,1,0,1
MARIA LUISA BEMBERG,4,0,1
MARIA PARADO DE BELLIDO,1,0,1801
MARIA R. DEL VALLE,9,3502,3751
MARIA REICHE,8,4352,4401
MARIA TERESA FERRARI,14,5202,5301
MARIANO ACHA,12,0,5001
MARIANO ACHA,15,902,1801
MARIANO ACOSTA,7,0,2401
MARIANO ACOSTA,8,0,3701
MARIANO ACOSTA,9,1422,1601
MARIANO DEMARIA,15,402,501
MARIE LANGER,1,0,1
MARIO BERNASCONI,15,2202,2301
MARIO BRAVO,0,1002,1401
MARIO BRAVO,5,2,1001
MARIQUITA SANCHEZ DE THOMPSON,1,0,401
MARISCAL F. SOLANO LOPEZ,11,0,4001
MARISCAL F. SOLANO LOPEZ,15,2102,3201
MARISCAL RAMON CASTILLA,14,0,3091
MARSELLA,15,2402,2601
MARTA LYNCH,1,302,601
MARTHA SALOTTI,1,0,601
MARTIN A. MALHARRO,12,2502,2701
MARTIN CORONADO,14,3102,3501
MARTIN DE MOUSSY,4,402,501
MARTIN FIERRO,10,5302,5801
MARTIN GRANDOLI,8,5702,6051
MARTIN PESCADOR,11,2102,2401
MARTIN RODRIGUEZ,4,102,1201
MARTINEZ CASTRO,8,2302,3201
MARTINEZ CASTRO,9,0,1601
MARTINEZ CASTRO,10,202,301
MARTINEZ DE HOZ,9,0,7301
MARTINEZ ROSAS,15,902,1501
MARTINIANO BONORINO,12,3002,3201
MARTINIANO LEGUIZAMON,8,0,4701
MARTINIANO LEGUIZAMON,9,2,2001
MARTIRES PALOTINOS,12,3902,4151
MASON,14,4402,4501
MATACO,10,1302,1601
MATANZA,4,2702,3721
MATANZA,7,0,1
MATEO J. MARTINEZ,11,5202,5301
MATHEU,3,2,1601
MATHEU,4,1602,2201
MATORRAS,6,202,401
MATURIN,15,2100,2901
MAURE,13,2402,3501
MAURE,14,1502,2401
MAURE,15,0,4201
MAYOR ARTURO LUISONI,1,0,2601
MAZA,5,2,2301
MBARACAYU,1,0,2701
MBURUCUYA,9,6802,7001
MCAL.ANTONIO JOSE DE SUCRE,12,3802,4801
MCAL.ANTONIO JOSE DE SUCRE,13,602,3801
MEDANOS,11,1502,1601
MEDEYROS,12,3402,3601
MEDINA,9,502,2101
MEDINA,10,0,501
MEDRANO,14,0,2001
MELGAR,4,2,201
MELINCUE,10,0,5601
MELINCUE,11,2458,5301
MELINCUE,15,2402,2457
MEMBRILLAR,7,2,1001
MENDEZ,8,2402,2601
MENDEZ DE ANDES,6,0,1701
MENDEZ DE ANDES,7,1702,2401
MENDOZA,12,3802,5901
MENDOZA,13,0,3801
MENENDEZ Y PELAYO,10,302,401
MERCEDES,10,2,2601
MERCEDES,11,0,5101
MERCEDES SOSA,15,2302,2451
METAN,5,3602,4301
MEXICO,1,0,1801
MEXICO,3,1802,3301
MEXICO,5,3302,4401
MICAELA BASTIDAS,1,802,1301
MIGUEL ANDRES CAMINO,12,3602,3801
MIGUEL ANGEL,15,0,2001
MIGUEL C. VICTORICA,4,102,301
MIGUEL CANE,14,3002,3061
MIGUEL COUTO,10,2602,2701
MIGUEL COUTO,11,2702,2801
MIGUEL DE UNAMUNO,4,1602,1701
MIGUEL NAVARRO VIOLA,7,2402,2501
MIGUEL REYES BARBOSA,8,6202,6301
MIGUEL SKENNON,9,502,601
MIGUELETES,13,1602,2501
MIGUELETES,14,0,1401
MILAN,11,1702,1801
MILLER,12,0,5001
MILTON,10,2,501
MINISTRO BRIN,4,0,1501
MIRAFLORES,7,2002,2301
MIRALLA,8,2502,4401
MIRALLA,9,0,2501
MIRAMAR,10,4002,4401
MIRANDA,10,3902,6201
MIRANDA,11,3602,3901
MIRAVE,4,2702,3701
MIRIÃAY,4,3502,3601
MIRO,6,2,601
MIRO,7,702,1901
MISIONES,3,2,401
MIÃONES,13,1702,2501
MOCHICA,1,1252,1275
MOCORETA,4,0,601
MOCTEZUMA,10,0,1501
MOISES LEBENSOHN,4,902,1101
MOLDES,12,0,4701
MOLDES,13,0,3601
MOLIERE,10,0,3101
MOLINA,9,1102,2001
MOLLE,1,2102,2401
MOM,4,0,3901
MOM,7,2002,2301
MOMPOX,1,1602,1801
MONACO,11,4402,4601
MONASTERIO,4,2,751
MONROE,12,0,5901
MONROE,13,0,3801
MONSEÃOR VICENTE ZAZPE,14,3102,3201
MONTAÃESES,13,1802,3201
MONTE,9,0,7501
MONTE DINERO,7,1502,1601
MONTEAGUDO,4,2,2101
MONTENEGRO,15,0,1701
MONTESQUIEU,4,302,1601
MONTEVIDEO,0,1602,2001
MONTEVIDEO,1,2,801
MONTEVIDEO,2,802,1601
MONTIEL,8,0,6001
MONTIEL,9,0,3301
MONTREAL,8,4902,5401
MORELOS,6,2,801
MORENO,1,0,1801
MORENO,3,1802,3301
MORENO,5,3302,3701
MORETO,9,0,1801
MORETO,10,2,501
MORLOTE,15,768,1101
MORON,7,2302,3201
MORON,10,3202,5201
MORSE,5,4302,4401
MOSCU,15,5102,5501
MOVIMIENTO DE VILLAS,8,6102,6201
MOZART,0,2202,2251
MOZART,8,2252,2531
MOZART,9,502,2101
MOZART,10,0,501
MUJERES DE FRAGA,15,4102,4201
MUJERES LUCHADORAS,8,0,1
MUNICH,13,1702,1801
MURATURE,10,4502,5401
MURCIA,15,1502,1601
MURGUIONDO,8,0,4801
MURGUIONDO,9,0,2901
MURILLO,15,502,1301
MUTUALISMO,4,2502,2601
MUÃECAS,15,702,1501
MUÃIZ,5,2,2201
NACIONES UNIDAS,11,2702,3001
NAHUEL HUAPI,12,3930,5901
NAMUNCURA,10,2202,2401
NAPOLES,15,3102,3301
NATAL,4,2302,2601
NAVARRO,11,0,5301
NAVARRO,15,2102,3171
NAZARRE,10,5302,6301
NAZARRE,11,2502,5301
NAZCA,12,0,5901
NAZCA,15,3502,4101
NECOCHEA,4,0,1521
NELLY BELTRAN,8,4252,4301
NEMESIO TREJO,10,5002,5301
NEPPER,7,1002,1301
NEUQUEN,6,0,1801
NEUQUEN,7,1802,3001
NEVADA,11,2502,2601
NEWTON,2,2552,2601
NICANOR MENDEZ,13,2502,2601
NICARAGUA,14,4302,6101
NICASIO OROÃO,6,0,1701
NICASIO OROÃO,11,1702,2001
NICASIO OROÃO,15,2002,2601
NICOLAS DESCALZI,8,5402,5601
NICOLAS E. VIDELA,6,402,601
NICOLAS GRANADA,15,1602,1701
NICOLAS VILA,6,402,501
NIZA,11,1702,1801
NOGOYA,10,0,6401
NOGOYA,11,0,5301
NORUEGA,11,3702,3801
NTRA. SRA. DE CAACUPE,8,0,1
NUEVA YORK,11,3302,5301
NUEVA YORK,15,0,3301
NUEVA ZELANDIA,15,4802,4901
NUMANCIA,6,402,501
NUÃEZ,12,0,6401
NUÃEZ,13,1502,3101
O'BRIEN,1,1102,1301
O'GORMAN,8,0,3651
O'HIGGINS,13,1402,4801
O'HIGGINS,14,1302,1401
OBISPO SAN ALBERTO,11,3302,3801
OBISPO SAN ALBERTO,12,2202,3301
OBRERO ROBERTO NUÃEZ,5,4302,4401
OCEANIA,7,1902,2001
OCEANIA (NO OFICIAL),7,0,2101
OCEANÃA (NO OFICIAL),7,0,1
OHM,15,2202,2301
OLAVARRIA,4,2,3401
OLAYA,6,1002,1101
OLAYA,15,1102,1901
OLAZABAL,13,0,3401
OLEGARIO V. ANDRADE,6,252,401
OLGA COSSETTINI,1,0,1701
OLIDEN,8,0,4801
OLIDEN,9,0,2801
OLIVIERI,10,2,401
OLIVOS,9,5602,5701
OLLEROS,13,2402,3501
OLLEROS,14,1902,2401
OLLEROS,15,0,4201
OLOF PALME,12,4002,4801
OMBU,14,2902,3101
ONCATIVO,4,1902,2001
ONESIMO LEGUIZAMON,9,7102,7501
OPORTO,10,6102,6301
ORMA,4,3202,3501
ORTEGA,6,802,1101
ORTEGA Y GASSET,14,1502,2001
ORTIZ DE OCAMPO,14,2502,2801
ORURO,3,0,1601
OSAKA,6,1202,1301
OSCAR NATALIO BONAVENA,4,0,1501
OSLO,15,1202,1401
OSORIO,15,4902,5101
OSTENDE,10,2402,2601
OSVALDO CRUZ,4,3402,4101
OTAMENDI,6,2,701
OTERO,15,2,401
OTTAWA,10,2902,3001
OVIDIO GOMEZ,8,6102,6301
OWEN,4,2902,2961
PABLO CURATELLA MANES,11,1902,2001
PABLO GIORELLO,1,0,1
PABLO PODESTA,10,4402,4501
PACHECO,12,0,3601
PADILLA,15,202,1301
PADRE CANAVERY,13,1302,1601
PADRE CARLOS MUGICA,1,2,2001
PADRE CARLOS MUGICA,2,2002,3501
PADRE ENRIQUE CONTARDI,4,3502,3601
PADRE FAHY,11,2702,2901
PADRE FEDERICO GROTE,4,602,801
PADRE LORENZO BARTOLOME MASSA,7,1102,1301
PADRE M. L. MIGONE,1,0,1
PADRE MONTES CARBALLO,9,1502,1801
PADRE NEUMANN JUAN B.,13,1402,1501
PADRE VICENTE RIGONI (NO OFICIAL),11,0,1
PAEZ,7,1702,3201
PAEZ,10,3202,3401
PAILEBOT DAVISON,8,0,4101
PALCO,1,2502,2541
PALMAR,9,0,7301
PALO SANTO,1,2218,2401
PALOS,4,2,901
PALPA,13,2402,3501
PALPA,14,2302,2401
PALPA,15,3502,4101
PANAMA,5,902,1001
PANTALEON RIVAROLA,15,2402,2471
PARACAS,4,2,501
PARAGUAY,1,0,1401
PARAGUAY,2,1402,3401
PARAGUAY,14,3402,5701
PARANA,1,2,801
PARANA,2,802,1401
PAREJA,11,0,4901
PAREJA,12,2102,3301
PARERA,1,2,201
PARIS,10,402,701
PARKER,4,2,101
PAROISSIEN,12,0,4901
PAROISSIEN,13,1602,2401
PARQUE DE LOS NIÃOS,13,0,1
PARRAL,6,2,301
PASAJE 1 Bo. RIVADAVIA,7,1702,1801
PASAJE 10 Bo. RIVADAVIA,7,0,1
PASAJE 11 Bo. RIVADAVIA,7,1902,2001
PASAJE 12 Bo. RIVADAVIA,7,1802,1901
PASAJE 13 Bo. RIVADAVIA,7,1802,1901
PASAJE 14 Bo. RIVADAVIA,7,0,2001
PASAJE 15 Bo. RIVADAVIA,7,0,2001
PASAJE 16 Bo. RIVADAVIA,7,0,2001
PASAJE 17 Bo. RIVADAVIA,7,0,1
PASAJE 18 Bo. RIVADAVIA,7,0,1
PASAJE 19 Bo. RIVADAVIA,7,2002,2101
PASAJE 2 Bo. RIVADAVIA,7,1702,1801
PASAJE 2 DE ABRIL,15,3102,3201
PASAJE 20 Bo. RIVADAVIA,7,2002,2101
PASAJE 21 Bo. RIVADAVIA,7,0,1
PASAJE 23 Bo. RIVADAVIA,7,0,1
PASAJE 24 Bo. RIVADAVIA,7,0,1
PASAJE 25 Bo. RIVADAVIA,7,0,1
PASAJE 26 Bo. RIVADAVIA,7,0,1
PASAJE 27 Bo. RIVADAVIA,7,2162,2261
PASAJE 27 DE MAYO,8,3420,3701
PASAJE 28 Bo. RIVADAVIA,7,2162,2261
PASAJE 29 Bo. RIVADAVIA,7,2162,2261
PASAJE 3 Bo. RIVADAVIA,7,1702,1901
PASAJE 4 Bo. RIVADAVIA,7,1702,1901
PASAJE 5 Bo. RIVADAVIA,7,1702,1901
PASAJE 6 Bo. RIVADAVIA,7,0,1
PASAJE 7 Bo. RIVADAVIA,7,0,1
PASAJE 8 Bo. RIVADAVIA,7,1702,1901
PASAJE 9 Bo. RIVADAVIA,7,0,1
PASAJE A,8,0,1
PASAJE AZUL,7,0,1
PASAJE B,8,0,1
PASAJE B. FÃTIMA (NO OFICIAL),8,2802,2971
PASAJE C,8,0,1
PASAJE D,8,0,1
PASAJE DE LA ROSA,8,6702,6901
PASAJE DE LAS ARTES,8,0,1
PASAJE DE LOS SUEÃOS,8,5202,5301
PASAJE DE LOS TRABAJADORES,8,4332,4401
PASAJE E,8,0,1
PASAJE ECHEANDIA BO. PIRELLI (NO OFICIAL),8,0,1
PASAJE EL ENCUENTRO,8,5402,5501
PASAJE EL PORVENIR,9,2302,2351
PASAJE EL PROGRESO,9,2202,2301
PASAJE ESPERANZA,8,5402,5501
PASAJE F,8,0,1
PASAJE FLOREAL FERRARA,8,2502,2601
PASAJE G,8,0,1
PASAJE GAUCHITO GIL,8,2560,2601
PASAJE H,8,0,1
PASAJE HEBE SAN MARTIN DE DUPRAT,8,5302,5401
PASAJE I,8,0,1
PASAJE INTERNO PQUE. AVELLANEDA,9,0,1
PASAJE J,8,0,1
PASAJE K,8,0,1
PASAJE L,8,0,1
PASAJE LA ESPERANZA,8,2602,2701
PASAJE LA JAULITA,8,3670,3701
PASAJE LATINOAMERICANO,8,5202,5301
PASAJE MANZANA 5 (NO OFICIAL),8,0,1
PASAJE MANZANA C (NO OFICIAL),9,2202,2301
PASAJE MANZANA C BIS (NO OFICIAL),9,2202,2301
PASAJE MERCOSUR,8,5302,5401
PASAJE NORTE,14,2,25
PASAJE PADRE BERNAZA,8,2702,2801
PASAJE PANAMERICANO,8,4332,4401
PASAJE ROJAS,6,0,1
PASAJE ROJAS (NO OFICIAL),6,0,1
PASAJE SASTRE,1,1902,2001
PASAJE SIXTO PALAVECINO,8,3670,3701
PASAJE SUBTERRÃNEO,11,0,1
PASAJE SUIZO (NO OFICIAL),2,0,1
PASAJE TERESA DE CALCUTA,8,3670,3701
PASAJE UNIDAD,8,3452,3501
PASAJE USHUAIA,13,1902,2001
PASAJE VALLE(ARGERICH 500),7,2,21
PASAJE VIRGEN DE URKUPIÃA,8,0,1
PASCO,3,2,1601
PASCO,4,2002,2201
PASCUAL PEREZ,8,4402,4601
PASEO ALFREDO ZITARROSA,14,0,1
PASEO DE LAS MUJERES DEL BARRIO LA BOCA,4,0,1
PASEO DE LOS ARTISTAS,9,0,1
PASEO INTERNO AGRONOMIA,15,0,1
PASEO ISLAS MALVINAS,8,0,1
PASEO LA VIA PADRE CARLOS MUGICA (NO OFICIAL),4,0,1
PASEO LIBORIO PUPILLO,9,0,1
PASEO PADRE DANIEL DE LA SIERRA,4,1602,1801
PASILLO 1 MZA 53 (NO OFICIAL),4,0,1
PASILLO 2 MZA 53 (NO OFICIAL),4,0,1
PASILLO ALT. OSVALDO CRUZ 3475 (NO OFICIAL),4,0,1
PASILLO EL AMANECER,8,2580,2601
PASILLO EVITA,8,2602,2631
PASILLO INTERNO MZA B (NO OFICIAL),9,0,1
PASILLO INTERNO MZA B BIS (NO OFICIAL),9,0,1
PASILLO LAVARDEN,4,0,1
PASILLO MZA 57 (NO OFICIAL),4,0,1
PASILLO MZA ALEGRE PAVIMENTO (NO OFICIAL),4,0,1
PASILLO MZAS 12-13 (NO OFICIAL),4,0,1
PASILLO MZAS 20-21 (NO OFICIAL),4,0,1
PASILLO MZAS 21-22 (NO OFICIAL),4,0,1
PASILLO MZAS 24-25 (NO OFICIAL),4,0,1
PASILLO MZAS D2-D3 (NO OFICIAL),9,0,1
PASILLO NO OFICIAL (ALT. ZAVALETA 1101),4,0,1
PASILLO NO OFICIAL CONT. ZAVALETA,4,0,1
PASILLO NO OFICIAL MZAS 54-58,4,0,1
PASILLO PADRE CARLOS BUSTOS,8,3502,3531
PASILLO SIN NOMBRE OFICIAL MZA 26 BIS,8,0,1
PASILLO SIN NOMBRE OFICIAL MZAS 18-19,8,6102,6301
PASILLO UNIDAD,8,3402,3451
PASO,3,2,801
PASO DE LOS LIBRES,11,2402,2601
PASTEUR,3,2,801
PASTORAL VILLERA,8,6102,6301
PATAGONES,4,2402,3001
PATRON,9,0,7601
PATRON,10,5302,5601
PAUL GROUSSAC,10,5302,5801
PAULA ALBARRACIN DE SARMIENTO,11,3302,3501
PAUNERO,14,2702,2901
PAVON,1,1102,1801
PAVON,3,0,3301
PAVON,5,3302,3601
PAYSANDU,6,2,1801
PAYSANDU,15,0,2401
PAZ SOLDAN,15,0,5201
PEDERNERA,7,0,1801
PEDERNERA,8,2702,3801
PEDRO AGOTE,13,1302,1501
PEDRO BIDEGAIN,5,4052,4401
PEDRO CALDERON DE LA BARCA,10,0,2301
PEDRO CALDERON DE LA BARCA,11,2302,3801
PEDRO DE JEREZ,15,402,501
PEDRO DE VALDIVIA,11,2502,2701
PEDRO ECHAGUE,1,1102,1801
PEDRO ECHAGUE,4,1802,1901
PEDRO F. ZALDIVAR,15,3202,3301
PEDRO LAREDO,5,120,201
PEDRO LOZANO,10,5302,6051
PEDRO LOZANO,11,0,5301
PEDRO MORAN,10,5302,5551
PEDRO MORAN,11,0,5301
PEDRO MORAN,15,2102,3213
PEDRO N. ARATA,4,0,1601
PEDRO VELARDE,4,3202,3301
PEDRO ZONZA BRIANO,4,102,201
PEHUAJO,10,902,1001
PEIPING,10,5102,5201
PEPIRI,4,0,1601
PERDRIEL,4,0,2001
PEREYRA,5,1502,1801
PEREYRA LUCENA,14,2502,2701
PERGAMINO,7,1502,2001
PERGAMINO,8,0,4001
PERGAMINO,9,0,1501
PERGAMINO,10,2,401
PERIBEBUY,9,6702,7301
PERNAMBUCO,11,2102,2501
PERRAULT,7,1102,1301
PERU,1,0,1601
PERU,4,1602,1801
PESCADORES,7,2,101
PESTALOZZI,12,3402,3601
PETRONA EYLE,1,0,501
PEÃA,2,2002,3201
PI Y MARGALL,4,0,1301
PICHEUTA,7,1302,2101
PICHINCHA,3,2,1601
PICHINCHA,4,2002,2201
PICO,12,0,5001
PICO,13,1502,2401
PIEDRAS,1,0,1601
PIEDRAS,4,1602,2031
PIERES,9,0,2001
PIERINA DEALESSI,1,0,2101
PILA,9,7302,7501
PILAR,9,602,2001
PILCOMAYO,4,702,1201
PILLADO,7,702,1201
PINTO,12,0,4901
PINZON,4,2,1701
PIO COLLIVADINO,9,402,501
PIO RODRIGUEZ,10,5302,5401
PIRAN,12,5402,6401
PIROVANO,4,0,601
PITAGORAS,9,472,901
PIZARRO,9,0,7701
PIZARRO,10,5202,5651
PIZZURNO,2,902,1001
PJE (AV. ROCA 5100),8,0,5301
PJE (AV. ROCA 5400),8,0,1
PJE (F.F.DE LA CRUZ 5200),8,4502,4681
PJE (J.B. JUSTO 9100),9,0,501
PJE (LARRAZABAL 4700),8,4682,4831
PJE (MOZART 2370),8,4402,4501
PJE SAN CAYETANO,4,0,1
PJE. 1 DE ABRIL,4,0,1
PJE. 15 DE MAYO,4,0,1
PJE. 24-25,8,0,1
PJE. 9 DE JULIO (NO OFICIAL),15,0,1
PJE. ALVAREZ JONTE (NO OFICIAL),15,0,1
PJE. AMIGOS DE LAS ARTES,10,0,1
PJE. ATACAMA,1,802,1051
PJE. CARQUEJA,1,2752,2801
PJE. CEDRON,1,2202,2301
PJE. CIPRES,1,2802,2851
PJE. COPIHUE,1,2702,2801
PJE. CORTADERA,1,2752,2801
PJE. EDUARDO WILDE,10,2202,2301
PJE. ELODEA,1,2802,2851
PJE. GENDARMERIA NACIONAL,1,802,901
PJE. GUATAMBU,1,2002,2101
PJE. IQUIQUE,1,802,1051
PJE. IRUYA,1,726,801
PJE. LA AMISTAD,4,0,1
PJE. LA ISLA MALVINA,4,0,1
PJE. MARCOARTU,7,2,11
PJE. MILENRAMA,1,2702,2751
PJE. MOCOVI,1,1122,1201
PJE. PERU (NO OFICIAL),15,0,1
PJE. PLUMERILLO ROSADO,1,2802,2851
PJE. PRIMAVERA,4,0,1
PJE. RUDA,1,2802,2851
PJE. SAN BLAS,4,0,1
PJE. SAN JORGE,4,0,1
PJE. TARTAGAL,12,5802,5901
PJE. TRUJILLO,1,1082,1127
PJE. TUPIZA,14,3902,4001
PJE. UYUNI,1,952,1051
PJE. VINAL,1,2702,2751
PJE. WICHI,1,1056,1201
PJE. YPACARAI,1,832,901
PJE.(ALT. BENEDETTI 170),10,3910,4001
PJE.PART. (YERBAL 5949),10,102,161
PJE.PART.(BALBOA 458),15,2,11
PJE.PART.(RIVADAVIA 11080,9,2,83
PLACIDO MARTINEZ,7,2002,2101
PLANES,6,0,1601
PLAZA,12,0,4901
PLAZA,15,0,1801
PLUMERILLO,8,0,4001
PLUS ULTRA,12,2702,2801
PLUTARCO,12,3002,3101
POLA,8,2602,4401
POLA,9,0,2601
POLICARPO MOM,13,0,1
POLONIA,9,7102,7201
PONTEDERIA,1,2102,2201
PORTELA,0,0,1401
PORTELA,7,0,1901
PORTELA,8,0,3601
PORTILLO,10,1202,1301
PORTUGAL,6,502,601
POSADAS,1,1002,1301
POSADAS,2,1302,1801
POSTA,12,4402,4801
POSTA DE HORNILLOS,8,5002,5201
POTOSI,5,3702,4501
PRACTICO POLIZA,4,902,1101
PRAGA,15,1302,1401
PREFECTURA NAVAL ARGENTINA,1,0,3001
PRELADO DON BUENAVENTURA RISSO PATRON,9,2,151
PRES. EDUARDO V. HAEDO,2,1902,2001
PRES. TORRES Y TENORIO,7,2002,2701
PRES.JOSE E. URIBURU,2,802,1801
PRES.JOSE E. URIBURU,3,2,801
PRES.LUIS SAENZ PEÃA,1,2,2101
PRES.MANUEL QUINTANA,1,2,201
PRES.MANUEL QUINTANA,2,202,401
PRES.ROBERTO M. ORTIZ,2,1802,2001
PRILIDIANO PUEYRREDON,9,4102,4201
PRIMERA JUNTA,7,1352,3501
PRIMERA JUNTA,9,0,5801
PRINGLES,5,2,1201
PRINGLES,14,1302,1501
PRINGLES,15,1202,1301
PROMETEO,12,3002,3201
PROVINCIAS UNIDAS,7,302,401
PUAN,6,2,601
PUAN,7,602,2101
PUENTE ALSINA,4,0,1
PUENTE ALT. BERMUDEZ,11,0,1
PUENTE ALT. MOZART,9,0,1
PUENTE ALT. PQUE SARMIENTO NORTE,12,0,1
PUENTE ALT. PQUE SARMIENTO SUR,12,0,1
PUENTE ALT. SAN JUAN BAUTISTA DE LA SALLE,9,0,1
PUENTE ARGERICH,7,0,1
PUENTE ARREGUI,10,0,1
PUENTE AV. DIRECTORIO,9,0,1
PUENTE AV.SAN MARTIN,15,0,1
PUENTE AV.UDAONDO,13,902,951
PUENTE BOQUERON HUMAITA,9,0,1
PUENTE BOSCH,4,0,1
PUENTE CABALLITO,6,0,399
PUENTE CONSEJAL PEDRO BUSTOS,0,0,1
PUENTE CORRALES,8,0,1
PUENTE DE LA IGUALDAD,1,0,1
PUENTE DE LA MUJER,1,0,1
PUENTE DE LA ROSA,8,0,1
PUENTE DEL INCA,12,4002,4101
PUENTE GALLARDO,10,0,1
PUENTE GOLETA SANTA CRUZ,8,0,1
PUENTE GRAL FRUCTUOSO RIVERA,8,0,1
PUENTE HELGUERA,7,0,1
PUENTE JUAN BAUTISTA LA SALLE,12,0,1
PUENTE LA COMUNIDAD ORGANIZADA,8,0,1
PUENTE LACARRA - OLÃMPICO RIBERA SUR,0,0,1
PUENTE LACARRA - OLÃMPICO RIBERA SUR,8,0,1
PUENTE MADARIAGA,8,0,1
PUENTE MARIANO ACHA,12,0,1
PUENTE NICOLAS AVELLANEDA,4,0,1
PUENTE PARRAL,6,0,1
PUENTE PEATONAL,8,0,1
PUENTE PEATONAL,12,0,1
PUENTE PEATONAL ALT. AGUARIBAY,10,0,1
PUENTE PEATONAL ALT. GREGORIO LAFERRERE,9,0,1
PUENTE PEATONAL CARLOS SANCHEZ VIAMONTE,2,0,1
PUENTE PEATONAL CORVALAN,8,0,1
PUENTE PEATONAL EX PARQUE DE LA CIUDAD,8,0,1
PUENTE PEATONAL HOSPITAL GARRAHAN,4,0,1
PUENTE PEATONAL MADERO,9,0,1
PUENTE PEATONAL MIRALLA,0,0,1
PUENTE PEATONAL RETIRO,1,0,1
PUENTE PEATONAL VICTOR HUGO,10,0,1
PUENTE PEATONAL VIRGILIO,10,0,1
PUENTE PRINGLES,5,0,1
PUENTE PUEYRREDON,0,0,1
PUENTE SANCHEZ DE BUSTAMANTE,0,0,1
PUENTE SCALABRINI ORTIZ,13,0,1
PUENTE SENDERO BOLIVIA,11,0,1
PUENTE SENDERO SOBRE LUGONES,13,0,1
PUENTE SOBRE VÃAS - GUTIÃRREZ,11,0,1
PUENTE SOBRE VÃAS CHORROARÃN,15,0,1
PUENTE SOBRE VÃAS ELCANO,15,0,1
PUENTE TAPALQUE,9,0,1
PUENTE ULRICO SCHMIDL,9,0,1
PUENTE VEDIA,13,0,1
PUENTE VICTORINO DE LA PLAZA,4,0,1
PUENTE ZABALA,13,0,1
PUENTE ZUVIRIA,8,0,1
PUERTO PRINCIPE,13,2502,2601
PUJOL,6,502,1601
PUMA,1,802,1201
PUMACAHUA,7,2,1701
PUNA,4,3502,3661
PUNTA ARENAS,15,0,2101
PUNTA CORRAL,1,2652,2901
PURMAMARCA,1,0,701
QUEBRACHO,12,4802,4901
QUERANDIES,5,4202,4501
QUEROL,7,902,1001
QUESADA,12,0,6101
QUESADA,13,1502,3101
QUETZAL,1,0,1201
QUEVEDO,11,0,4101
QUEVEDO SAMUEL LAFONE,4,0,1
QUICHUA,1,1502,1801
QUILMES,4,0,801
QUINTANA,12,4402,4901
QUINTINO BOCAYUVA,5,2,1801
QUIRNO,7,0,1101
QUIROS,15,2602,3101
QUITO,5,3602,4401
R. ESCALADA DE SAN MARTIN,10,0,5101
R. ESCALADA DE SAN MARTIN,11,1952,3701
R. ESCALADA DE SAN MARTIN,15,0,1101
RAFAEL HERNANDEZ,13,0,3101
RAFAELA,10,3502,5301
RAMALLO,12,0,5001
RAMALLO,13,1602,2401
RAMON J. CARCANO,14,0,1
RAMON Y CAJAL,7,1202,1301
RAMONA MARTINEZ,8,4352,4401
RAMOS MEJIA,6,602,1101
RAMSAY,13,1802,2601
RANQUELES,10,1802,1901
RASTREADOR FOURNIER,12,5602,5701
RAUCH,5,3902,4001
RAUL SCALABRINI ORTIZ,14,2502,3651
RAULET,4,2,301
RAULIES,15,1902,2101
RAWSON,5,2,401
RECONQUISTA,1,0,1201
RECUERDOS DE PROVINCIA,9,0,4651
REGALIZ,1,2620,2701
REGINA PACINI DE ALVEAR,1,2,401
REMEDIOS,7,2602,3201
REMEDIOS,9,0,6101
RENACIMIENTO,4,2702,2801
RENAN,7,1102,1301
RENEE SLOTOPOLSKY DE EPELBAUM,1,0,1301
RENQUE CURA,10,1602,1901
REP. BOLIVARIANA DE VENEZUELA,1,0,1801
