calle,comuna,altura_inicial,altura_final
AV. ESCALADA,10,0,601
AV. ESPAÃA,4,0,3351
AV. ESTADO DE ISRAEL,0,0,4801
AV. FEDERICO LACROZE,13,2402,3501
AV. FEDERICO LACROZE,14,1902,2401
AV. FEDERICO LACROZE,15,0,4201
AV. FOREST,0,0,1801
AV. FOREST,15,302,1201
AV. GAONA,0,0,4201
AV. GAONA,6,0,2301
AV. GAONA,10,0,5201
AV. GARCIA DEL RIO,12,0,3201
AV. GARMENDIA,15,0,5001
AV. GENDARMERIA NACIONAL,1,502,801
AV. GENERAL BENJAMIN VICTORICA,15,0,3301
AV. GUZMAN,15,0,1101
AV. HIPOLITO YRIGOYEN,1,0,1801
AV. HIPOLITO YRIGOYEN,3,3282,3301
AV. HIPOLITO YRIGOYEN,5,3302,4401
AV. HONDURAS,14,3702,4201
AV. INDEPENDENCIA,1,0,1801
AV. INDEPENDENCIA,3,1802,3301
AV. INDEPENDENCIA,5,3302,4401
AV. INFANTA ISABEL,14,0,1001
AV. IRAOLA,14,0,1
AV. JORGE NEWBERY,15,3402,4901
AV. JOSE FAGNANO,11,0,3701
AV. JUAN DE GARAY,0,1802,3301
AV. JUAN DE GARAY,1,0,1801
AV. JUAN DE GARAY,3,0,1
AV. JUAN DE GARAY,5,3302,4401
AV. JUJUY,3,2,1601
AV. JUJUY,4,1602,2201
AV. JURAMENTO,13,0,2901
AV. LACARRA,0,0,2201
AV. LACARRA,8,2202,4001
AV. LACARRA,9,0,1801
AV. LAFUENTE,7,0,1801
AV. LAFUENTE,8,0,2601
AV. LARRAZABAL,8,0,5451
AV. LARRAZABAL,9,0,1301
AV. LASTRA,11,0,4401
AV. LEOPOLDO LUGONES,13,0,1
AV. LEOPOLDO LUGONES,14,0,1
AV. LIBRES DEL SUR,2,31,100
AV. LILLO,6,0,1
AV. LINCOLN,11,0,4701
AV. LOPE DE VEGA,0,0,3601
AV. LOPE DE VEGA,10,602,2201
AV. LUIS M. CAMPOS,13,1402,1701
AV. LUIS M. CAMPOS,14,0,1401
AV. MAIPU,1,1102,1301
AV. MARIA CURIE,6,0,1
AV. MARIANO ACOSTA,0,302,601
AV. MARIANO ACOSTA,9,0,1421
AV. MARIANO ACOSTA,10,2,301
AV. MARTIN GARCIA,0,232,401
AV. MARTIN GARCIA,1,0,1
AV. MARTIN GARCIA,4,0,901
AV. MIGUEL SANCHEZ,13,1002,1501
AV. MONROE,0,0,3601
AV. NAZCA,7,2,1101
AV. NAZCA,11,0,3401
AV. NAZCA,15,3402,3501
AV. OLAZABAL,12,0,5701
AV. OLAZABAL,13,0,3701
AV. OLIVERA,9,0,1601
AV. OLIVERA,10,0,401
AV. OSVALDO CRUZ,4,0,3401
AV. PARQUE ROBERTO GOYENECHE,12,0,4851
AV. PASEO COLON,0,0,1701
AV. PASEO COLON,1,0,1501
AV. PATRICIAS ARGENTINAS,6,0,501
AV. PAVON,5,0,4401
AV. PEDRO GOYENA,6,2,1701
AV. PEDRO GOYENA,7,1702,1801
AV. PICHINCHA,4,1602,2001
AV. PIEDRA BUENA,8,0,5701
AV. PINEDO,4,802,1201
AV. PRES. RAMON S. CASTILLO,0,0,1757
AV. PRES. RAMON S. CASTILLO,1,0,701
AV. PRES. RAMON S. CASTILLO,2,0,2801
AV. PUEYRREDON,2,0,2701
AV. PUEYRREDON,3,2,1001
AV. RESERVISTAS ARGENTINOS,9,0,731
AV. RIESTRA,0,0,1801
AV. RIESTRA,4,0,1601
AV. RIESTRA,7,0,2601
AV. RIESTRA,8,0,6401
AV. RIVADAVIA,0,4502,4553
AV. RIVADAVIA,1,0,1801
AV. RIVADAVIA,3,0,3401
AV. RIVADAVIA,5,3402,4501
AV. RIVADAVIA,6,0,6201
AV. RIVADAVIA,7,6202,7701
AV. RIVADAVIA,9,0,11701
AV. RIVADAVIA,10,0,10401
AV. ROENTGEN,6,0,1
AV. ROSALES,1,0,401
AV. SALVADOR MARIA DEL CARRIL,0,2102,3301
AV. SALVADOR MARIA DEL CARRIL,11,0,5201
AV. SAN ISIDRO LABRADOR,12,0,4901
AV. SAN JUAN,1,2,1801
AV. SAN JUAN,3,0,3301
AV. SAN JUAN,5,3302,4401
AV. SANTA FE,1,602,1401
AV. SANTA FE,2,1402,3201
AV. SANTA FE,14,0,5401
AV. SARMIENTO,14,0,4801
AV. SEGUROLA,10,0,2501
AV. SEGUROLA,11,0,4701
AV. TILCARA,4,2602,3101
AV. TRIUNVIRATO,12,0,6601
AV. TRIUNVIRATO,15,0,4101
AV. URUGUAY,1,402,801
AV. VARELA,0,0,2801
AV. VARELA,7,502,2201
AV. VARELA,8,0,3501
AV. VELEZ SARSFIELD,4,0,2101
AV. VERNET,7,2,421
AV. VIRREY VERTIZ,13,0,2101
AV. WARNES,15,0,2801
AV.ADOLFO BERRO,14,0,1
AV.ALBARELLOS,12,2302,3201
AV.ALICIA MOREAU DE JUSTO,1,0,2101
AV.ALMAFUERTE,4,0,901
AV.ALTE.BROWN,4,0,1501
AV.ALVAREZ JONTE,0,6302,6401
AV.ALVAREZ JONTE,9,6402,6601
AV.ALVAREZ JONTE,10,0,6301
AV.ALVAREZ JONTE,11,0,3901
AV.ALVAREZ THOMAS,0,0,1301
AV.ALVAREZ THOMAS,12,0,3701
AV.ALVAREZ THOMAS,14,0,1
AV.ALVAREZ THOMAS,15,0,2401
AV.ALVEAR,1,0,1401
AV.ALVEAR,2,0,2201
AV.AMANCIO ALCORTA,4,0,4201
AV.ANTARTIDA ARGENTINA,0,1302,1701
AV.ANTARTIDA ARGENTINA,1,0,1301
AV.ARGENTINA,8,0,7001
AV.ARREGUI,10,0,6501
AV.ASAMBLEA,7,0,2301
AV.ASTURIAS,0,0,1
AV.ASTURIAS,8,0,1
AV.ASTURIAS,9,0,3001
AV.AUSTRALIA,4,0,3201
AV.AVELLANEDA,6,1202,1801
AV.AVELLANEDA,7,0,3201
AV.AVELLANEDA,10,3202,4201
AV.BACACAY,0,0,5901
AV.BELGRANO,1,0,1801
AV.BELGRANO,3,1802,3301
AV.BELGRANO,5,3302,3801
AV.BELISARIO ROLDAN,14,0,5101
AV.BENITO PEREZ GALDOS,4,0,401
AV.BOEDO,5,302,2101
AV.BOYACA,7,2,601
AV.BRASIL,0,0,201
AV.BRASIL,1,0,401
AV.BRASIL,4,2,41
AV.BRUIX,9,0,4901
AV.CABILDO,0,0,5001
AV.CABILDO,13,0,3701
AV.CABILDO,14,0,401
AV.CALABRIA,1,1202,1801
AV.CANONIGO MIGUEL C.DEL CORRO,10,0,701
AV.CNEL. MARCELINO E. FREYRE,14,3602,3901
AV.CNEL. NICETO VEGA,14,5412,6101
AV.CNEL. ROCA,8,0,7001
AV.CNEL.ESTEBAN BONORINO,0,0,3651
AV.CNEL.ESTEBAN BONORINO,7,0,2401
AV.COMBATIENTES DE MALVINAS,12,0,4001
AV.COMBATIENTES DE MALVINAS,15,0,3601
AV.COMODORO PY,1,0,2401
AV.CONGRESO,12,0,6001
AV.CONGRESO,13,2402,3101
AV.CORONEL RAMON L. FALCON,9,5902,6001
AV.CORONEL RAMON L. FALCON,10,0,5901
AV.COSTANERA RAFAEL OBLIGADO,0,0,6181
AV.COSTANERA RAFAEL OBLIGADO,2,0,1201
AV.COSTANERA RAFAEL OBLIGADO,13,0,7401
AV.COSTANERA RAFAEL OBLIGADO,14,0,5991
AV.CURAPALIGUE,7,0,1801
AV.DE LOS CONSTITUYENTES,12,0,6301
AV.DE LOS CONSTITUYENTES,15,0,4101
AV.DE LOS CORRALES,9,0,7501
AV.DE LOS INMIGRANTES,1,0,2601
AV.DEL BARCO CENTENERA,4,2302,2501
AV.DEL FOMENTISTA,12,0,3301
AV.DEL LIBERTADOR,1,0,801
AV.DEL LIBERTADOR,2,0,1801
AV.DEL LIBERTADOR,13,0,8701
AV.DEL LIBERTADOR,14,0,5301
AV.DIAZ VELEZ,0,3302,3401
AV.DIAZ VELEZ,5,3402,4501
AV.DIAZ VELEZ,6,0,5601
AV.DON PEDRO DE MENDOZA,4,0,4001
AV.DORREGO,0,1502,1601
AV.DORREGO,14,0,4101
AV.DORREGO,15,0,1501
AV.DR.HONORIO PUEYRREDON,6,0,1101
AV.DR.HONORIO PUEYRREDON,15,0,2201
AV.DR.JOSE MARIA RAMOS MEJIA,1,0,1701
AV.DR.RICARDO BALBIN,0,2502,2601
AV.DR.RICARDO BALBIN,12,0,5051
AV.DR.RICARDO BALBIN,13,2302,2501
AV.ELVIRA RAWSON DE DELLEPIANE,0,0,301
AV.ELVIRA RAWSON DE DELLEPIANE,1,0,701
AV.ERNESTO TORNQUIST,14,0,6401
AV.EVA PERON,0,0,7501
AV.EVA PERON,7,0,3501
AV.EVA PERON,9,0,4901
AV.FRANCISCO BEIRO,10,5302,5901
AV.FRANCISCO BEIRO,11,0,5301
AV.FRANCISCO BEIRO,15,0,3101
AV.FRANCISCO BILBAO,7,0,3401
AV.FRANCISCO BILBAO,9,0,3901
AV.FRANKLIN D. ROOSEVELT,12,0,5901
AV.GENERAL LAS HERAS,0,2702,3201
AV.GENERAL LAS HERAS,2,0,2701
AV.GENERAL LAS HERAS,14,3202,4301
AV.GENERAL MOSCONI,11,0,4531
AV.GENERAL MOSCONI,12,2102,3301
AV.GERMAN BURMEISTER,6,0,1
AV.GRAL GELLY Y OBES,2,0,2401
AV.GRAL PAZ,0,0,1
AV.GRAL PAZ,8,0,17701
AV.GRAL PAZ,9,0,14101
AV.GRAL PAZ,10,0,10201
AV.GRAL PAZ,11,0,8301
AV.GRAL PAZ,12,0,5791
AV.GRAL PAZ,13,0,1101
AV.GRAL. CESAR DIAZ,0,0,1
AV.GRAL. CESAR DIAZ,10,5602,5901
AV.GRAL. EUGENIO GARZON,9,0,6101
AV.GRAL. INDALESIO CHENAUT,14,0,2001
AV.GRAL. IRIARTE,4,0,4101
AV.GRAL.F. FERNANDEZ DE LA CRUZ,0,0,2601
AV.GRAL.F. FERNANDEZ DE LA CRUZ,4,0,1901
AV.GRAL.F. FERNANDEZ DE LA CRUZ,7,0,1
AV.GRAL.F. FERNANDEZ DE LA CRUZ,8,0,7001
AV.GUILLERMO UDAONDO,13,0,1501
AV.ING. HUERGO,1,0,1601
AV.ING.JOSE N. QUARTINO,1,0,1
AV.INT. HERNAN M. GIRALT,1,0,1101
AV.INT.BULLRICH,14,2,601
AV.INTENDENTE FRANCISCO RABANAL,4,0,2101
AV.INTENDENTE FRANCISCO RABANAL,8,0,3301
AV.ISIDRO LOREA,4,3202,3301
AV.JOSE MARIA MORENO,6,2,801
AV.JOSE MARIA MORENO,7,802,2001
AV.JUAN B. JUSTO,0,0,9701
AV.JUAN B. JUSTO,9,0,9801
AV.JUAN B. JUSTO,10,0,9901
AV.JUAN B. JUSTO,11,0,6501
AV.JUAN B. JUSTO,14,602,1601
AV.JUAN B. JUSTO,15,0,4001
AV.JUAN BAUTISTA ALBERDI,0,0,4901
AV.JUAN BAUTISTA ALBERDI,6,2,1701
AV.JUAN BAUTISTA ALBERDI,7,0,3201
AV.JUAN BAUTISTA ALBERDI,9,0,7501
AV.JUAN BAUTISTA ALBERDI,10,0,3801
AV.LA PLATA,0,2,2201
AV.LA PLATA,4,0,3001
AV.LA PLATA,5,1602,1801
AV.LA PLATA,6,0,1
AV.LA PLATA,7,0,1
AV.LA RABIDA (N),1,0,201
AV.LA RABIDA (S),0,0,201
AV.LA RABIDA (S),1,0,1
AV.LEANDRO N.ALEM,1,0,1201
AV.LIDORO J. QUINTEROS,13,0,1501
AV.LISANDRO DE LA TORRE,9,1802,3101
AV.MANUEL R. TRELLES,15,2302,2801
AV.MEDRANO,5,0,1001
AV.MELIAN,12,0,4901
AV.MELIAN,13,0,2501
AV.MENDOZA,12,0,5501
AV.OLLEROS,0,0,1521
AV.OLLEROS,14,0,1901
AV.ORTIZ DE OCAMPO,2,3196,3351
AV.ORTIZ DE OCAMPO,14,0,3195
AV.PERITO MORENO,0,0,3001
AV.PERITO MORENO,4,0,1701
AV.PERITO MORENO,7,0,3901
AV.PRES. FIGUEROA ALCORTA,0,0,1
AV.PRES. FIGUEROA ALCORTA,2,0,3001
AV.PRES. FIGUEROA ALCORTA,13,0,7801
AV.PRES. FIGUEROA ALCORTA,14,0,6401
AV.PRES. ROQUE SAENZ PEÃA,1,0,1221
AV.PRES.MANUEL QUINTANA,2,0,701
